Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,12.61,15.36,16.86,18.93,17.53,19.92,19.21,17.96,18.51,..,..,..
Afghanistan,AFG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,29413.06,28800.07,27015.2,26764.02,27086.07,26894,26526.93,27689.58,28636.5,..,..,..
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.30525973791313,0.265190801995859,0.189816756865598,0.14915052813269,0.176179956928317,0.153120981174411,0.134186906541903,0.165366907058411,0.16085016113134,..,..,..
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,35.84,39.91,41.14,38.56,38.47,39.43,37.07,38.11,40.2,..,..,..
Albania,ALB,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,9331.294,8879.601,8930.465,9363.005,9223.67,9087.428,9656.962,9453.678,9008.165,..,..,..
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.670352592511,1.50296459006875,1.53217928825751,1.66847576272782,1.60380990334651,1.55665604232953,1.79045658243711,1.78169228321755,1.69196805679788,..,..,..
Algeria,DZA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.18,0.18,0.13,0.07,0.06,0.08,0.14,0.19,0.16,..,..,..
Algeria,DZA,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,215751.9,235433.4,240073.2,253509.9,263142.9,265356.8,268897.1,278029.9,282008.2,..,..,..
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.30524619932152,3.62138650454638,3.65848973119548,3.81154436688716,3.95198369861949,3.84007874796331,3.84901785385676,3.94826656717948,4.01002515655643,..,..,..
American Samoa,ASM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0,0.14,0.24,0.23,0.23,0.3,0.49,0.49,0.5,..,..,..
American Samoa,ASM,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,18.55,18.76,19.14,19.45,19.32,19.32,19.15,18.58,18.4,..,..,..
Andorra,AND,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,602.069,599.107,588.817,574.863,579.229,585.851,585.144,617.414,627.58,..,..,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.95758640724418,6.86229281962458,6.67423318900893,6.44593066279443,6.48576924149081,6.46528811690102,6.30209786421442,6.59405703011478,6.57359548354139,..,..,..
Angola,AGO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,51.06,49.47,47.95,48.23,47.84,49.03,56.25,57.36,54.69,..,..,..
Angola,AGO,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,79152.2,77403.95,81092.57,82391.11,87360.5,85911.42,81013.1,75235.33,79678.73,..,..,..
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.983791203230819,0.94758707736118,1.03104746004915,1.09220849033245,1.12518891950045,1.02092811921599,0.80265810151987,0.766050321209311,0.779292238004638,..,..,..
Antigua and Barbuda,ATG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.08,0.15,0.15,0.14,0.48,0.6,0.6,0.9,0.91,..,..,..
Antigua and Barbuda,ATG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1088.105,1258.904,1046.677,1061.611,1086.616,1124.39,1151.241,1186.174,1217.041,..,..,..
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.19746566892274,7.94876474211283,5.35046385753189,5.34761755345376,5.45913432138847,5.535312044521,5.50049934700776,5.56392290397922,5.60265748993128,..,..,..
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,8.83,8.61,8.91,9.79,9.4,9.38,10.37,10.52,10.74,..,..,..
Argentina,ARG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,350250.4,355296.7,364479.9,363148.8,370000.9,373332.2,377205.7,375101.1,369051.9,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.28094332027273,4.26422362148416,4.34212454655109,4.20905330505396,4.30185120706067,4.20180210453832,4.07139674183186,3.9756664767256,3.74054556792816,..,..,..
Armenia,ARM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,8.01,6.56,6.77,7.08,10.74,13.15,12.56,11.13,10.34,..,..,..
Armenia,ARM,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,8203.352,9199.711,9141.848,9132.75,9155.671,9414.462,9250.183,9442.624,9963.242,..,..,..
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.68560616406553,1.96145306391904,1.896163384039,1.89589367216507,1.85625278998956,1.7679664042068,1.88339587008485,2.01377938113001,2.18733447682445,..,..,..
Aruba,ABW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,5.66,6.86,6.89,6.93,6.73,6.99,6.7,8.02,7.48,..,..,..
Aruba,ABW,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,8.32,8.29,9.21,9.32,9.31,9.42,9.69,9.67,10.13,..,..,..
Australia,AUS,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,668341.9,667437.1,580875.3,597268.1,596976.3,574453,623270.5,617394.1,585981.2,..,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.2952052334411,17.0218530259246,16.442242258334,15.830574663505,15.863086971592,15.914727794208,15.8233757696224,15.5033538149282,15.2534842144406,..,..,..
Austria,AUT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,31.64,34.38,34.59,35.67,34.82,34.64,33.98,34.11,33.77,..,..,..
Austria,AUT,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,81532.29,78326.86,78869.39,75150.36,76339.48,76725.84,78653.98,75438.5,76917.89,..,..,..
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.13565353054223,7.72327040444053,7.75334579507143,7.26027560752208,7.31696198143659,7.28933501879664,7.48574094243794,7.13327868346221,7.29356796007171,..,..,..
Azerbaijan,AZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,3.55,2.84,2.52,2.12,2.33,1.94,1.91,1.93,1.62,..,..,..
Azerbaijan,AZE,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,44840.7,48050.13,49259.02,50622.86,50518.14,50858.58,50244.41,51691.29,54803.1,..,..,..
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.97414762017826,3.23917810482688,3.28557436862051,3.3815556221401,3.29279481365619,3.30394764727994,3.24303764763118,3.29264124897847,3.54219847943239,..,..,..
"Bahamas, The",BHS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1.42,1.18,0.96,1.14,1.54,1.53,1.44,1.02,1.14,..,..,..
"Bahamas, The",BHS,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,2870.917,3839.584,3115.667,2819.23,2516.202,2357.801,2501.464,3121.243,3162.154,..,..,..
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.80486836883186,9.28804562622199,7.28406586282899,6.48187885313686,5.62902186673186,5.16268662747237,5.4508545937547,6.97302354281847,7.01038419802401,..,..,..
Bahrain,BHR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0,0,0,0,0,0,0,0,0,..,..,..
