"iso3","year","africa","americas","east_asia_and_the_pacific","europe","middle_east","other_not_classified","south_asia","total","of_which,_nationals_residing_abroad"
AFG,2012-01-01 00:00:00.000,,,,,,,,,
AFG,2013-01-01 00:00:00.000,,,,,,,,,
AFG,2014-01-01 00:00:00.000,,,,,,,,,
AFG,2015-01-01 00:00:00.000,,,,,,,,,
AFG,2016-01-01 00:00:00.000,,,,,,,,,
AFG,2017-01-01 00:00:00.000,,,,,,,,,
AFG,2018-01-01 00:00:00.000,,,,,,,,,
AFG,2019-01-01 00:00:00.000,,,,,,,,,
AFG,2020-01-01 00:00:00.000,,,,,,,,,
AFG,2021-01-01 00:00:00.000,,,,,,,,,
ALB,2012-01-01 00:00:00.000,1.0,74.0,20.0,3214.0,2.0,202.0,1.0,3514.0,
ALB,2013-01-01 00:00:00.000,1.0,73.0,24.0,2964.0,4.0,190.0,1.0,3256.0,
ALB,2014-01-01 00:00:00.000,1.0,90.0,31.0,3424.0,3.0,123.0,1.0,3673.0,
ALB,2015-01-01 00:00:00.000,3.0,97.0,33.0,3759.0,4.0,234.0,2.0,4131.0,
ALB,2016-01-01 00:00:00.000,1.0,104.0,36.0,4485.0,4.0,103.0,2.0,4736.0,
ALB,2017-01-01 00:00:00.000,2.0,124.0,54.0,4687.0,5.0,245.0,2.0,5118.0,
ALB,2018-01-01 00:00:00.000,4.0,149.0,68.0,5332.0,7.0,365.0,3.0,5927.0,
ALB,2019-01-01 00:00:00.000,24.0,157.0,68.0,5796.0,12.0,346.0,4.0,6406.0,
ALB,2020-01-01 00:00:00.000,2.0,30.0,5.0,2617.0,2.0,2.0,1.0,2658.0,
ALB,2021-01-01 00:00:00.000,3.0,116.0,8.0,5173.0,37.0,331.0,21.0,5689.0,
DZA,2012-01-01 00:00:00.000,635.0,12.0,55.0,240.0,40.0,1652.0,,2634.0,1652.0
DZA,2013-01-01 00:00:00.000,591.0,10.0,46.0,245.0,73.0,1769.0,,2733.0,1769.0
DZA,2014-01-01 00:00:00.000,542.0,10.0,50.0,258.0,81.0,1361.0,,2301.0,1361.0
DZA,2015-01-01 00:00:00.000,659.0,10.0,75.0,289.0,50.0,627.0,,1710.0,627.0
DZA,2016-01-01 00:00:00.000,901.0,12.0,58.0,311.0,42.0,717.0,,2039.0,717.0
DZA,2017-01-01 00:00:00.000,1177.0,13.0,63.0,376.0,80.0,742.0,,2451.0,742.0
DZA,2018-01-01 00:00:00.000,1429.0,21.0,85.0,427.0,57.0,638.0,,2657.0,638.0
DZA,2019-01-01 00:00:00.000,1478.0,16.0,68.0,321.0,50.0,437.0,,2371.0,437.0
DZA,2020-01-01 00:00:00.000,410.0,3.0,12.0,72.0,13.0,81.0,,591.0,81.0
DZA,2021-01-01 00:00:00.000,14.0,2.0,10.0,34.0,7.0,58.0,,125.0,58.0
AND,2012-01-01 00:00:00.000,,,,2202.0,,36.0,,2238.0,
AND,2013-01-01 00:00:00.000,,,,2283.0,,45.0,,2328.0,
AND,2014-01-01 00:00:00.000,,,,2330.0,,33.0,,2363.0,
AND,2015-01-01 00:00:00.000,,,,2597.0,,67.0,,2663.0,
AND,2016-01-01 00:00:00.000,,,,2741.0,,78.0,,2819.0,
AND,2017-01-01 00:00:00.000,,,,2922.0,,81.0,,3003.0,
AND,2018-01-01 00:00:00.000,,,,2959.0,,83.0,,3042.0,
AND,2019-01-01 00:00:00.000,,,,3006.0,,84.0,,3090.0,
AND,2020-01-01 00:00:00.000,,,,1832.0,,39.0,,1872.0,
AND,2021-01-01 00:00:00.000,,,,1902.0,,47.0,,1949.0,
AGO,2012-01-01 00:00:00.000,173.0,68.0,94.0,177.0,6.0,,10.0,528.0,
AGO,2013-01-01 00:00:00.000,223.0,74.0,106.0,231.0,8.0,,8.0,650.0,
AGO,2014-01-01 00:00:00.000,106.0,84.0,66.0,326.0,7.0,,8.0,595.0,
AGO,2015-01-01 00:00:00.000,176.0,105.0,98.0,198.0,5.0,,10.0,592.0,
AGO,2016-01-01 00:00:00.000,53.0,62.0,51.0,213.0,10.0,,9.0,397.0,
AGO,2017-01-01 00:00:00.000,41.0,34.0,40.0,135.0,5.0,,7.0,261.0,
AGO,2018-01-01 00:00:00.000,35.0,38.0,29.0,106.0,4.0,,6.0,218.0,
AGO,2019-01-01 00:00:00.000,31.0,33.0,28.0,112.0,6.0,,9.0,218.0,
AGO,2020-01-01 00:00:00.000,8.0,10.0,3.0,38.0,2.0,,3.0,64.0,
AGO,2021-01-01 00:00:00.000,12.0,9.0,7.0,30.0,4.0,,3.0,64.0,
ATG,2012-01-01 00:00:00.000,1.0,154.0,1.0,90.0,,1.0,,247.0,
ATG,2013-01-01 00:00:00.000,1.0,152.0,2.0,88.0,,1.0,,243.0,
ATG,2014-01-01 00:00:00.000,1.0,155.0,2.0,91.0,,1.0,,249.0,
ATG,2015-01-01 00:00:00.000,1.0,151.0,2.0,96.0,,1.0,,250.0,
ATG,2016-01-01 00:00:00.000,1.0,166.0,2.0,96.0,,1.0,,265.0,
ATG,2017-01-01 00:00:00.000,1.0,153.0,2.0,91.0,,1.0,,247.0,
ATG,2018-01-01 00:00:00.000,1.0,176.0,2.0,89.0,,1.0,,269.0,
ATG,2019-01-01 00:00:00.000,1.0,198.0,3.0,98.0,,1.0,,301.0,
ATG,2020-01-01 00:00:00.000,1.0,85.0,1.0,39.0,,1.0,,125.0,
ATG,2021-01-01 00:00:00.000,1.0,115.0,1.0,53.0,,1.0,,169.0,
ARG,2012-01-01 00:00:00.000,12.0,5318.0,209.0,912.0,1.0,267.0,8.0,6497.0,
ARG,2013-01-01 00:00:00.000,12.0,5387.0,209.0,866.0,1.0,258.0,8.0,6510.0,
ARG,2014-01-01 00:00:00.000,12.0,6017.0,209.0,891.0,1.0,258.0,8.0,7165.0,
ARG,2015-01-01 00:00:00.000,12.0,5656.0,209.0,896.0,1.0,264.0,8.0,6816.0,
ARG,2016-01-01 00:00:00.000,12.0,5447.0,209.0,990.0,1.0,1.0,8.0,6668.0,
ARG,2017-01-01 00:00:00.000,14.0,5513.0,211.0,964.0,1.0,2.0,8.0,6711.0,
ARG,2018-01-01 00:00:00.000,16.0,5692.0,227.0,995.0,1.0,2.0,9.0,6942.0,
ARG,2019-01-01 00:00:00.000,15.0,6044.0,232.0,1097.0,1.0,2.0,10.0,7399.0,
ARG,2020-01-01 00:00:00.000,3.0,1660.0,68.0,357.0,1.0,2.0,2.0,2090.0,
ARG,2021-01-01 00:00:00.000,3.0,218.0,3.0,76.0,1.0,2.0,2.0,297.0,
ARM,2012-01-01 00:00:00.000,2.0,129.0,30.0,606.0,50.0,,148.0,963.0,
ARM,2013-01-01 00:00:00.000,2.0,147.0,31.0,702.0,52.0,,151.0,1084.0,
