"iso3","year","gdp"
AFG,2011-01-01 00:00:00.000,621.912310861592
ALB,2011-01-01 00:00:00.000,4437.14261222684
DZA,2011-01-01 00:00:00.000,5473.2805504316
AND,2011-01-01 00:00:00.000,51429.1919196159
AGO,2011-01-01 00:00:00.000,4511.15322719034
ATG,2011-01-01 00:00:00.000,13117.1469408968
ARG,2011-01-01 00:00:00.000,12848.8641969705
ARM,2011-01-01 00:00:00.000,3462.6816110805
AUS,2011-01-01 00:00:00.000,62596.4321748915
AUT,2011-01-01 00:00:00.000,51442.2762464407
AZE,2011-01-01 00:00:00.000,7189.69122920765
BHS,2011-01-01 00:00:00.000,26644.9265775896
BHR,2011-01-01 00:00:00.000,23741.5574626702
BGD,2011-01-01 00:00:00.000,856.381586098739
BRB,2011-01-01 00:00:00.000,16907.2092592727
BLR,2011-01-01 00:00:00.000,6527.17386871642
BEL,2011-01-01 00:00:00.000,47410.5669277464
BLZ,2011-01-01 00:00:00.000,5521.36627642336
BEN,2011-01-01 00:00:00.000,1099.4143113919
BTN,2011-01-01 00:00:00.000,2491.27167707216
BOL,2011-01-01 00:00:00.000,2304.96983521132
BIH,2011-01-01 00:00:00.000,4981.03568097896
BWA,2011-01-01 00:00:00.000,7080.81281326927
BRA,2011-01-01 00:00:00.000,13200.7850823986
BRN,2011-01-01 00:00:00.000,46139.5844090516
BGR,2011-01-01 00:00:00.000,7849.16528274432
BFA,2011-01-01 00:00:00.000,727.6125146559
BDI,2011-01-01 00:00:00.000,236.451353673737
CPV,2011-01-01 00:00:00.000,3537.13983732298
KHM,2011-01-01 00:00:00.000,880.310304425532
CMR,2011-01-01 00:00:00.000,1497.92666739037
CAN,2011-01-01 00:00:00.000,52223.696112356
CAF,2011-01-01 00:00:00.000,515.209531914838
TCD,2011-01-01 00:00:00.000,988.194214568524
CHL,2011-01-01 00:00:00.000,14628.5724573037
CHN,2011-01-01 00:00:00.000,5614.35213522574
COL,2011-01-01 00:00:00.000,7392.45236079278
COM,2011-01-01 00:00:00.000,1526.83250550796
COD,2011-01-01 00:00:00.000,376.374981122052
COG,2011-01-01 00:00:00.000,3415.06256258418
CRI,2011-01-01 00:00:00.000,9137.45582337247
CIV,2011-01-01 00:00:00.000,1701.70473363773
HRV,2011-01-01 00:00:00.000,14812.8694716528
