,iso3,year,soc_score
0,AFG,2012-01-01,4.038997214484678
1,AFG,2013-01-01,4.186351706036746
2,AFG,2014-01-01,4.809461235216819
3,AFG,2015-01-01,4.152431011826544
4,AFG,2016-01-01,4.96124031007752
5,AFG,2017-01-01,4.882506527415144
6,AFG,2018-01-01,4.881889763779527
7,AFG,2019-01-01,5.212464589235129
8,AFG,2020-01-01,5.204513399153739
9,AFG,2021-01-01,4.901960784313726
10,AGO,2012-01-01,2.311977715877437
11,AGO,2013-01-01,2.545931758530184
12,AGO,2014-01-01,2.2207621550591328
13,AGO,2015-01-01,2.7069645203679373
14,AGO,2016-01-01,2.5710594315245485
15,AGO,2017-01-01,2.6501305483028728
16,AGO,2018-01-01,2.664041994750656
17,AGO,2019-01-01,2.5779036827195476
18,AGO,2020-01-01,2.6939351198871657
19,AGO,2021-01-01,2.915032679738562
20,ALB,2012-01-01,7.103064066852367
21,ALB,2013-01-01,6.811023622047244
22,ALB,2014-01-01,6.57030223390276
23,ALB,2015-01-01,6.557161629434955
24,ALB,2016-01-01,6.976744186046513
25,ALB,2017-01-01,7.062663185378591
26,ALB,2018-01-01,7.283464566929134
27,ALB,2019-01-01,7.917847025495753
28,ALB,2020-01-01,7.968970380818054
29,ALB,2021-01-01,7.542483660130719
30,AND,2012-01-01,2.841225626740947
31,AND,2013-01-01,2.9790026246719163
32,AND,2014-01-01,3.7187910643889617
33,AND,2015-01-01,3.4428383705650463
34,AND,2016-01-01,3.565891472868217
35,AND,2017-01-01,3.498694516971279
36,AND,2018-01-01,3.910761154855643
37,AND,2019-01-01,2.9603399433427775
38,AND,2020-01-01,2.778561354019746
39,AND,2021-01-01,3.6470588235294117
40,ARE,2012-01-01,7.994428969359332
41,ARE,2013-01-01,7.887139107611549
42,ARE,2014-01-01,7.950065703022339
43,ARE,2015-01-01,7.923784494086727
44,ARE,2016-01-01,8.010335917312663
45,ARE,2017-01-01,7.950391644908617
46,ARE,2018-01-01,8.044619422572179
47,ARE,2019-01-01,7.84702549575071
48,ARE,2020-01-01,7.81382228490832
49,ARE,2021-01-01,7.9869281045751634
50,ARG,2012-01-01,7.66016713091922
51,ARG,2013-01-01,7.637795275590552
52,ARG,2014-01-01,7.59526938239159
53,ARG,2015-01-01,7.542706964520368
54,ARG,2016-01-01,7.4806201550387605
55,ARG,2017-01-01,7.480417754569192
56,ARG,2018-01-01,7.388451443569553
57,ARG,2019-01-01,7.7195467422096335
58,ARG,2020-01-01,7.757404795486601
59,ARG,2021-01-01,7.4117647058823515
60,ARM,2012-01-01,6.392757660167129
61,ARM,2013-01-01,6.312335958005249
62,ARM,2014-01-01,6.031537450722734
63,ARM,2015-01-01,6.031537450722734
64,ARM,2016-01-01,6.085271317829459
65,ARM,2017-01-01,6.12271540469974
66,ARM,2018-01-01,5.958005249343832
67,ARM,2019-01-01,7.053824362606234
68,ARM,2020-01-01,7.150916784203104
69,ARM,2021-01-01,6.104575163398692
70,ATG,2012-01-01,5.02785515320334
71,ATG,2013-01-01,5.026246719160105
72,ATG,2014-01-01,5.098554533508542
73,ATG,2015-01-01,5.059132720105126
74,ATG,2016-01-01,5.180878552971577
75,ATG,2017-01-01,5.234986945169712
76,ATG,2018-01-01,5.314960629921259
77,ATG,2019-01-01,4.844192634560908
78,ATG,2020-01-01,4.823695345557122
79,ATG,2021-01-01,5.516339869281046
80,AUS,2012-01-01,8.440111420612812
81,AUS,2013-01-01,8.385826771653543
82,AUS,2014-01-01,8.370565045992116
83,AUS,2015-01-01,8.357424441524309
84,AUS,2016-01-01,8.39793281653747
85,AUS,2017-01-01,8.420365535248044
86,AUS,2018-01-01,8.503937007874015
87,AUS,2019-01-01,8.583569405099151
88,AUS,2020-01-01,8.589562764456982
89,AUS,2021-01-01,8.601307189542483
90,AUT,2012-01-01,8.189415041782729
91,AUT,2013-01-01,8.031496062992126
92,AUT,2014-01-01,8.028909329829172
93,AUT,2015-01-01,7.97634691195795
94,AUT,2016-01-01,8.049095607235143
95,AUT,2017-01-01,8.120104438642299
96,AUT,2018-01-01,8.241469816272964
97,AUT,2019-01-01,8.286118980169974
98,AUT,2020-01-01,8.19464033850494
99,AUT,2021-01-01,8.117647058823529
100,AZE,2012-01-01,6.49025069637883
101,AZE,2013-01-01,6.456692913385828
102,AZE,2014-01-01,6.596583442838371
103,AZE,2015-01-01,6.609724047306177
104,AZE,2016-01-01,6.744186046511629
105,AZE,2017-01-01,6.671018276762403
