Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,32949.7576254933,35667.1716675892,36381.4146788096,36030.4055787636,35429.9889857345,35307.4711991414,35217.9336476653,34623.2518636684,34946.2291173097,33071.4806696974,25476.5172884364
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,437560.645670945,444495.425391179,449772.627778323,458702.359970427,470247.105064285,486613.08316363,505579.998900279,527200.24609472,540506.220011205,524691.975753467,574674.275247288
Algeria,DZA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,428983.984075325,435033.630597584,438505.058942976,446248.800580534,453596.988849195,458872.991236418,455829.877744233,452602.827931409,448797.086918909,418593.304838991,426121.369416054
American Samoa,ASM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,12318.1734487203,11920.0610903131,11774.6957260119,12160.7905471398,12751.1291076156,12765.6200444022,12110.0620665952,12700.3138939369,12932.9473172587,13921.0634566672,14011.3245253692
Andorra,AND,GDP per capita (constant LCU),NY.GDP.PCAP.KN,36874.176314708,34819.8217227832,33417.9662869393,34133.4245542509,34562.623700276,35452.4400330852,34950.2282053713,34948.8755282418,35032.1574997053,30570.7850707851,32744.5150188526
Angola,AGO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,55779.549357765,58309.7233468629,58952.2306916869,59558.414328899,57982.2485440609,54496.4813104529,52516.3812106925,50060.3887382983,48050.5056409818,43901.1300715886,43000.8422676916
Antigua and Barbuda,ATG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,31334.0405170128,32041.7683691858,31553.0469959434,32479.4925814694,33457.5999822106,35053.7741265845,35935.7543432215,38196.9091742519,39840.6374501992,31608.1757748424,33076.0896383784
Argentina,ARG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,17226.2707236215,16856.718216504,17070.0712000244,16459.2049590457,16727.4347429468,16207.200833909,16492.0664048258,15898.0865321293,15425.9829164663,13758.0314135673,15045.3946077154
Armenia,ARM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1358804.98262874,1463913.58695261,1519017.19230643,1579939.59355417,1636918.04651227,1647494.7623642,1779696.28345506,1882382.66162111,2036900.85655474,1900346.0185651,2019197.84061919
Aruba,ABW,GDP per capita (constant LCU),NY.GDP.PCAP.KN,45770.4762656978,44931.0560952679,47463.0637636081,47126.2814448713,48485.9529815744,49220.9699258157,51641.2333197394,54088.1659593003,54186.1822575914,44054.2738535591,51642.7548272491
Australia,AUS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,73878.9716609078,75433.2434584873,76058.076293158,76864.548281997,77397.2701959335,78278.3795580711,78751.9351105598,79813.7338688265,80344.6158334003,79317.5239616283,80987.7219701792
Austria,AUT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,40063.5274880021,40152.6490360429,39926.8711151164,39878.0123364859,39833.5323259551,40189.0343091897,40812.2553442623,41598.9985205623,42042.847232858,39166.4670449162,40773.199749838
Azerbaijan,AZE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2921.5847301921,2945.4448489767,3076.51773675583,3121.92519852221,3118.70582664661,2988.43213007178,2965.16969244978,2983.68676702914,3032.49542136829,2882.30496790834,3030.31589849819
"Bahamas, The",BHS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,27515.5443841778,28059.7077430044,27002.618955011,27255.4229809499,27277.1373348918,26819.2516718185,27426.4447897349,27728.075719198,28068.7023089453,21281.3214226845,24115.9237667502
Bahrain,BHR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,8134.76371550652,8349.4361760055,8545.44719590575,8580.81630100356,8464.7709269665,8470.46204725817,8547.87848169386,8549.31333790525,8694.54258767973,8358.92353748201,8627.88517459243
