"year","europe","africa","asia","america","australia_and_oceania"
2012-01-01 00:00:00.000,71664311,2648012,3966343,4244060,x
2013-01-01 00:00:00.000,75218018,3085035,4278892,4528155,x
2014-01-01 00:00:00.000,71851324,3047756,3925565,3826949,x
2015-01-01 00:00:00.000,73199426,2565442,3523335,4010395,x
2016-01-01 00:00:00.000,79015618,2169551,5146279,4243673,x
2017-01-01 00:00:00.000,77013761,3882200,5421768,5356388,x
2018-01-01 00:00:00.000,93447192,4300153,5599372,4830714,x
2019-01-01 00:00:00.000,84585790,3663327,5807010,4587480,"889360"
2020-01-01 00:00:00.000,33969070,788390,1044897,1030261,x
2021-01-01 00:00:00.000,45505024,1098279,1037308,1026728,-
