"iso3","year","tourists"
BEL,2012-01-01 00:00:00.000,1081792.0
DNK,2012-01-01 00:00:00.000,1990672.0
FRA,2012-01-01 00:00:00.000,5525894.0
GRC,2012-01-01 00:00:00.000,1371712.0
ITA,2012-01-01 00:00:00.000,10734702
HRV,2012-01-01 00:00:00.000,2038609.0
NLD,2012-01-01 00:00:00.000,4063774.0
NOR,2012-01-01 00:00:00.000,1137609.0
AUT,2012-01-01 00:00:00.000,11973932
POL,2012-01-01 00:00:00.000,2321860.0
PRT,2012-01-01 00:00:00.000,838106.0
RUS,2012-01-01 00:00:00.000,692928.0
SWE,2012-01-01 00:00:00.000,1062401.0
CHE,2012-01-01 00:00:00.000,3566792.0
ESP,2012-01-01 00:00:00.000,9956971.0
CZE,2012-01-01 00:00:00.000,2447165.0
TUR,2012-01-01 00:00:00.000,4617678.0
HUN,2012-01-01 00:00:00.000,1157818.0
GBR,2012-01-01 00:00:00.000,2188117.0
total,2012-01-01 00:00:00.000,57911981
BEL,2013-01-01 00:00:00.000,1286893.0
BGR,2013-01-01 00:00:00.000,532448.0
DNK,2013-01-01 00:00:00.000,1656946.0
FRA,2013-01-01 00:00:00.000,5222570.0
GRC,2013-01-01 00:00:00.000,1907569.0
IRL,2013-01-01 00:00:00.000,816946.0
ITA,2013-01-01 00:00:00.000,10471824
HRV,2013-01-01 00:00:00.000,1962039.0
NLD,2013-01-01 00:00:00.000,5294242.0
NOR,2013-01-01 00:00:00.000,926316.0
AUT,2013-01-01 00:00:00.000,11812136
POL,2013-01-01 00:00:00.000,2339863.0
PRT,2013-01-01 00:00:00.000,1118701.0
RUS,2013-01-01 00:00:00.000,898582.0
SWE,2013-01-01 00:00:00.000,828481.0
CHE,2013-01-01 00:00:00.000,3131318.0
ESP,2013-01-01 00:00:00.000,9972999.0
CZE,2013-01-01 00:00:00.000,1708549.0
TUR,2013-01-01 00:00:00.000,4991780.0
HUN,2013-01-01 00:00:00.000,1199237.0
GBR,2013-01-01 00:00:00.000,4088788.0
rest_of_europe,2013-01-01 00:00:00.000,710113.0
total,2013-01-01 00:00:00.000,57885649
BEL,2014-01-01 00:00:00.000,1339362.0
DNK,2014-01-01 00:00:00.000,2342399.0
FRA,2014-01-01 00:00:00.000,5472093.0
GRC,2014-01-01 00:00:00.000,2363798.0
IRL,2014-01-01 00:00:00.000,608565.0
ITA,2014-01-01 00:00:00.000,9485428.0
HRV,2014-01-01 00:00:00.000,2418956.0
NLD,2014-01-01 00:00:00.000,4853948.0
NOR,2014-01-01 00:00:00.000,746759.0
AUT,2014-01-01 00:00:00.000,10574871
POL,2014-01-01 00:00:00.000,2635042.0
PRT,2014-01-01 00:00:00.000,971204.0
RUS,2014-01-01 00:00:00.000,1134880.0
SWE,2014-01-01 00:00:00.000,1035253.0
CHE,2014-01-01 00:00:00.000,3537623.0
ESP,2014-01-01 00:00:00.000,9143204.0
CZE,2014-01-01 00:00:00.000,1632543.0
TUR,2014-01-01 00:00:00.000,4893317.0
HUN,2014-01-01 00:00:00.000,529065.0
GBR,2014-01-01 00:00:00.000,2640606.0
rest_of_europe,2014-01-01 00:00:00.000,1080462.0
total,2014-01-01 00:00:00.000,56770471
BEL,2015-01-01 00:00:00.000,1169903.0
DNK,2015-01-01 00:00:00.000,1881482.0
FRA,2015-01-01 00:00:00.000,4837612.0
GRC,2015-01-01 00:00:00.000,1563361.0
IRL,2015-01-01 00:00:00.000,613248.0
ITA,2015-01-01 00:00:00.000,10645721
HRV,2015-01-01 00:00:00.000,1924939.0
NLD,2015-01-01 00:00:00.000,4839178.0
NOR,2015-01-01 00:00:00.000,1057681.0
AUT,2015-01-01 00:00:00.000,10544493
POL,2015-01-01 00:00:00.000,3301108.0
PRT,2015-01-01 00:00:00.000,1259049.0
RUS,2015-01-01 00:00:00.000,713235.0
SWE,2015-01-01 00:00:00.000,1091958.0
CHE,2015-01-01 00:00:00.000,3253824.0
ESP,2015-01-01 00:00:00.000,10242453
CZE,2015-01-01 00:00:00.000,2199242.0
TUR,2015-01-01 00:00:00.000,4316205.0
HUN,2015-01-01 00:00:00.000,1098884.0
GBR,2015-01-01 00:00:00.000,3252563.0
rest_of_europe,2015-01-01 00:00:00.000,859711.0
total,2015-01-01 00:00:00.000,57662365
BEL,2016-01-01 00:00:00.000,1009253.0
BGR,2016-01-01 00:00:00.000,1028722.0
DNK,2016-01-01 00:00:00.000,1909579.0
